INFO - 2023-11-28 06:07:32,769: collecting all words and their counts
INFO - 2023-11-28 06:07:32,769: PROGRESS: at sentence #0, processed 0 words, keeping 0 word types
INFO - 2023-11-28 06:07:32,789: collected 77 word types from a corpus of 246400 raw words and 3080 sentences
INFO - 2023-11-28 06:07:32,789: Creating a fresh vocabulary
INFO - 2023-11-28 06:07:32,795: Word2Vec lifecycle event {'msg': 'effective_min_count=0 retains 77 unique words (100.00% of original 77, drops 0)', 'datetime': '2023-11-28T06:07:32.790175', 'gensim': '4.3.2', 'python': '3.8.10 (default, May 26 2023, 14:05:08) \n[GCC 9.4.0]', 'platform': 'Linux-5.15.133.1-microsoft-standard-WSL2-x86_64-with-glibc2.29', 'event': 'prepare_vocab'}
INFO - 2023-11-28 06:07:32,795: Word2Vec lifecycle event {'msg': 'effective_min_count=0 leaves 246400 word corpus (100.00% of original 246400, drops 0)', 'datetime': '2023-11-28T06:07:32.795961', 'gensim': '4.3.2', 'python': '3.8.10 (default, May 26 2023, 14:05:08) \n[GCC 9.4.0]', 'platform': 'Linux-5.15.133.1-microsoft-standard-WSL2-x86_64-with-glibc2.29', 'event': 'prepare_vocab'}
INFO - 2023-11-28 06:07:32,796: deleting the raw counts dictionary of 77 items
INFO - 2023-11-28 06:07:32,796: sample=0.001 downsamples 61 most-common words
INFO - 2023-11-28 06:07:32,797: Word2Vec lifecycle event {'msg': 'downsampling leaves estimated 76564.25266507421 word corpus (31.1%% of prior 246400)', 'datetime': '2023-11-28T06:07:32.796989', 'gensim': '4.3.2', 'python': '3.8.10 (default, May 26 2023, 14:05:08) \n[GCC 9.4.0]', 'platform': 'Linux-5.15.133.1-microsoft-standard-WSL2-x86_64-with-glibc2.29', 'event': 'prepare_vocab'}
INFO - 2023-11-28 06:07:32,797: estimated required memory for 77 words and 128 dimensions: 117348 bytes
INFO - 2023-11-28 06:07:32,797: resetting layer weights
INFO - 2023-11-28 06:07:32,797: Word2Vec lifecycle event {'update': False, 'trim_rule': 'None', 'datetime': '2023-11-28T06:07:32.797824', 'gensim': '4.3.2', 'python': '3.8.10 (default, May 26 2023, 14:05:08) \n[GCC 9.4.0]', 'platform': 'Linux-5.15.133.1-microsoft-standard-WSL2-x86_64-with-glibc2.29', 'event': 'build_vocab'}
INFO - 2023-11-28 06:07:32,797: Word2Vec lifecycle event {'msg': 'training model with 12 workers on 77 vocabulary and 128 features, using sg=1 hs=0 sample=0.001 negative=10 window=10 shrink_windows=True', 'datetime': '2023-11-28T06:07:32.797908', 'gensim': '4.3.2', 'python': '3.8.10 (default, May 26 2023, 14:05:08) \n[GCC 9.4.0]', 'platform': 'Linux-5.15.133.1-microsoft-standard-WSL2-x86_64-with-glibc2.29', 'event': 'train'}
INFO - 2023-11-28 06:07:32,983: EPOCH 0: training on 246400 raw words (76541 effective words) took 0.2s, 424090 effective words/s
INFO - 2023-11-28 06:07:33,124: EPOCH 1: training on 246400 raw words (76473 effective words) took 0.1s, 554794 effective words/s
INFO - 2023-11-28 06:07:33,300: EPOCH 2: training on 246400 raw words (76531 effective words) took 0.2s, 444214 effective words/s
INFO - 2023-11-28 06:07:33,443: EPOCH 3: training on 246400 raw words (76863 effective words) took 0.1s, 551778 effective words/s
INFO - 2023-11-28 06:07:33,616: EPOCH 4: training on 246400 raw words (76483 effective words) took 0.2s, 450722 effective words/s
INFO - 2023-11-28 06:07:33,759: EPOCH 5: training on 246400 raw words (76990 effective words) took 0.1s, 552188 effective words/s
INFO - 2023-11-28 06:07:33,932: EPOCH 6: training on 246400 raw words (76729 effective words) took 0.2s, 455215 effective words/s
INFO - 2023-11-28 06:07:34,077: EPOCH 7: training on 246400 raw words (76516 effective words) took 0.1s, 541459 effective words/s
INFO - 2023-11-28 06:07:34,255: EPOCH 8: training on 246400 raw words (76903 effective words) took 0.2s, 440218 effective words/s
INFO - 2023-11-28 06:07:34,397: EPOCH 9: training on 246400 raw words (76324 effective words) took 0.1s, 552991 effective words/s
INFO - 2023-11-28 06:07:34,539: EPOCH 10: training on 246400 raw words (76391 effective words) took 0.1s, 554993 effective words/s
INFO - 2023-11-28 06:07:34,714: EPOCH 11: training on 246400 raw words (76640 effective words) took 0.2s, 447928 effective words/s
INFO - 2023-11-28 06:07:34,858: EPOCH 12: training on 246400 raw words (76281 effective words) took 0.1s, 543110 effective words/s
INFO - 2023-11-28 06:07:35,021: EPOCH 13: training on 246400 raw words (76635 effective words) took 0.2s, 480059 effective words/s
INFO - 2023-11-28 06:07:35,174: EPOCH 14: training on 246400 raw words (76965 effective words) took 0.1s, 520931 effective words/s
INFO - 2023-11-28 06:07:35,323: EPOCH 15: training on 246400 raw words (76734 effective words) took 0.1s, 524429 effective words/s
INFO - 2023-11-28 06:07:35,468: EPOCH 16: training on 246400 raw words (76456 effective words) took 0.1s, 542616 effective words/s
INFO - 2023-11-28 06:07:35,646: EPOCH 17: training on 246400 raw words (76734 effective words) took 0.2s, 440637 effective words/s
INFO - 2023-11-28 06:07:35,793: EPOCH 18: training on 246400 raw words (77041 effective words) took 0.1s, 541352 effective words/s
INFO - 2023-11-28 06:07:35,936: EPOCH 19: training on 246400 raw words (76691 effective words) took 0.1s, 547124 effective words/s
INFO - 2023-11-28 06:07:36,075: EPOCH 20: training on 246400 raw words (76273 effective words) took 0.1s, 564061 effective words/s
INFO - 2023-11-28 06:07:36,215: EPOCH 21: training on 246400 raw words (76408 effective words) took 0.1s, 561252 effective words/s
INFO - 2023-11-28 06:07:36,361: EPOCH 22: training on 246400 raw words (76679 effective words) took 0.1s, 536679 effective words/s
INFO - 2023-11-28 06:07:36,529: EPOCH 23: training on 246400 raw words (76299 effective words) took 0.2s, 464632 effective words/s
